school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2024-2025,24,Culpeper County,50,Eastern View High,1529,NA,1529
2024-2025,24,Culpeper County,450,Emerald Hill Elementary,702,NA,702
2024-2025,24,Culpeper County,470,Farmington Elementary,453,NA,453
2024-2025,24,Culpeper County,581,Floyd T. Binns Middle,825,NA,825
2024-2025,24,Culpeper County,582,Galbreath-Marshall Building,9,NA,9
2024-2025,24,Culpeper County,10,Pearl Sample Elementary,680,NA,680
2024-2025,24,Culpeper County,460,Sycamore Park Elementary,689,NA,689
2024-2025,24,Culpeper County,40,Yowell Elementary,687,NA,687
2024-2025,25,Cumberland County,140,Cumberland Elementary,530,NA,530
2024-2025,25,Cumberland County,151,Cumberland High,374,NA,374
2024-2025,25,Cumberland County,152,Cumberland Middle,374,NA,374
2024-2025,108,Danville City,490,Edwin A. Gibson Elementary,466,NA,466
2024-2025,108,Danville City,20,Forest Hills Elementary,201,NA,201
2024-2025,108,Danville City,190,G.L.H. Johnson Elementary,571,NA,571
2024-2025,108,Danville City,1374,Galileo Magnet High,260,NA,260
2024-2025,108,Danville City,210,George Washington High,1248,NA,1248
2024-2025,108,Danville City,200,Grove Park Preschool,122,NA,122
2024-2025,108,Danville City,260,O. Trent Bonner Middle,501,NA,501
2024-2025,108,Danville City,250,Park Avenue Elementary,361,NA,361
2024-2025,108,Danville City,139,R.I.S.E Academy at the John M. Langston Campus,163,NA,163
2024-2025,108,Danville City,40,Schoolfield Elementary,516,NA,516
2024-2025,108,Danville City,30,The Northside Preschool,137,NA,137
2024-2025,108,Danville City,1372,Westwood Middle,642,NA,642
2024-2025,108,Danville City,220,Woodberry Hills Elementary,377,NA,377
2024-2025,26,Dickenson County,281,Ridgeview Elementary,667,NA,667
2024-2025,26,Dickenson County,275,Ridgeview High,548,NA,548
2024-2025,26,Dickenson County,280,Ridgeview Middle,586,NA,586
2024-2025,27,Dinwiddie County,500,Dinwiddie County High,1261,NA,1261
2024-2025,27,Dinwiddie County,471,Dinwiddie County Middle,920,NA,920
2024-2025,27,Dinwiddie County,310,Dinwiddie Elementary,341,NA,341
2024-2025,27,Dinwiddie County,250,Midway Elementary,352,NA,352
2024-2025,27,Dinwiddie County,10,Southside Elementary,446,NA,446
2024-2025,27,Dinwiddie County,180,Sunnyside Elementary,281,NA,281
2024-2025,27,Dinwiddie County,520,Sutherland Elementary,548,NA,548
2024-2025,28,Essex County,10,Essex High,393,NA,393
2024-2025,28,Essex County,150,James H. Cary Intermediate,299,NA,299
2024-2025,28,Essex County,160,Tappahannock Elementary,400,NA,400
2024-2025,29,Fairfax County,2203,Aldrin Elementary,455,4,459
2024-2025,29,Fairfax County,660,Annandale High,2163,NA,2163
2024-2025,29,Fairfax County,1360,Annandale Terrace Elementary,680,2,682
2024-2025,29,Fairfax County,110,Archer Elementary,543,2,545
2024-2025,29,Fairfax County,1530,Armstrong Elementary,357,NA,357
2024-2025,29,Fairfax County,550,Bailey's Elementary School for the Arts and Sciences,814,6,820
2024-2025,29,Fairfax County,2459,Bailey's Upper Elementary School for the Arts and Sciences,540,NA,540
2024-2025,29,Fairfax County,1730,Beech Tree Elementary,366,3,369
2024-2025,29,Fairfax County,560,Belle View Elementary,419,1,420
2024-2025,29,Fairfax County,720,Belvedere Elementary,606,6,612
2024-2025,29,Fairfax County,2000,Bonnie Brae Elementary,718,68,786
2024-2025,29,Fairfax County,1090,Braddock Elementary,955,1,956
2024-2025,29,Fairfax County,940,Bren Mar Park Elementary,490,10,500
2024-2025,29,Fairfax County,1790,Brookfield Elementary,684,1,685
2024-2025,29,Fairfax County,2201,Bryant High,154,NA,154
2024-2025,29,Fairfax County,700,Bucknell Elementary,319,15,334
2024-2025,29,Fairfax County,2251,Bull Run Early Childhood Resource Center,236,NA,236
2024-2025,29,Fairfax County,2225,Bull Run Elementary,766,3,769
2024-2025,29,Fairfax County,680,Bush Hill Elementary,674,12,686
2024-2025,29,Fairfax County,1940,Camelot Elementary,602,9,611
2024-2025,29,Fairfax County,620,Cameron Elementary,606,2,608
2024-2025,29,Fairfax County,1590,Canterbury Woods Elementary,735,2,737
2024-2025,29,Fairfax County,1690,Cardinal Forest Elementary,680,31,711
2024-2025,29,Fairfax County,2222,Carson Middle,1358,2,1360
2024-2025,29,Fairfax County,2090,Centre Ridge Elementary,635,40,675
2024-2025,29,Fairfax County,2205,Centreville Elementary,741,5,746
2024-2025,29,Fairfax County,200,Centreville High,2349,1,2350
2024-2025,29,Fairfax County,131,Chantilly High,2945,NA,2945
2024-2025,29,Fairfax County,480,Cherry Run Elementary,481,19,500
2024-2025,29,Fairfax County,100,Chesterbrook Elementary,557,8,565
2024-2025,29,Fairfax County,1050,Churchill Road Elementary,635,NA,635
2024-2025,29,Fairfax County,260,Clearview Elementary,581,25,606
2024-2025,29,Fairfax County,1870,Clermont Elementary,549,NA,549
2024-2025,29,Fairfax County,2347,Coates Elementary,996,NA,996
2024-2025,29,Fairfax County,1510,Columbia Elementary,377,16,393
2024-2025,29,Fairfax County,2234,Colvin Run Elementary,750,11,761
2024-2025,29,Fairfax County,1190,Cooper Middle,997,3,1000
2024-2025,29,Fairfax County,870,Crestwood Elementary,582,NA,582
2024-2025,29,Fairfax County,2020,Crossfield Elementary,514,15,529
2024-2025,29,Fairfax County,1600,Cub Run Elementary,621,10,631
2024-2025,29,Fairfax County,1700,Cunningham Park Elementary,412,4,416
2024-2025,29,Fairfax County,2229,Daniels Run Elementary,811,21,832
2024-2025,29,Fairfax County,2204,Deer Park Elementary,522,10,532
2024-2025,29,Fairfax County,220,Dogwood Elementary,745,8,753
2024-2025,29,Fairfax County,2010,Dranesville Elementary,611,8,619
2024-2025,29,Fairfax County,2238,Dunn Loring Early Childhood Resource Center,266,NA,266
2024-2025,29,Fairfax County,2243,Eagle View Elementary,665,19,684
2024-2025,29,Fairfax County,1270,Edison High,2299,2,2301
2024-2025,29,Fairfax County,190,Fairfax County Adult High,226,NA,226
2024-2025,29,Fairfax County,20,Fairfax High,2406,2,2408
2024-2025,29,Fairfax County,1480,Fairfax Villa Elementary,515,20,535
2024-2025,29,Fairfax County,1630,Fairhill Elementary,566,1,567
2024-2025,29,Fairfax County,290,Fairview Elementary,751,1,752
2024-2025,29,Fairfax County,1100,Falls Church High,2175,NA,2175
2024-2025,29,Fairfax County,730,Flint Hill Elementary,614,NA,614
2024-2025,29,Fairfax County,740,Floris Elementary,666,1,667
2024-2025,29,Fairfax County,70,Forest Edge Elementary,454,4,458
2024-2025,29,Fairfax County,1450,Forestdale Elementary,538,8,546
2024-2025,29,Fairfax County,370,Forestville Elementary,571,2,573
2024-2025,29,Fairfax County,2224,Fort Belvoir Elementary,707,6,713
2024-2025,29,Fairfax County,2458,Fort Belvoir Upper Elementary,761,8,769
2024-2025,29,Fairfax County,1920,Fort Hunt Elementary,552,1,553
2024-2025,29,Fairfax County,390,Fox Mill Elementary,650,1,651
2024-2025,29,Fairfax County,320,Franconia Elementary,492,1,493
2024-2025,29,Fairfax County,440,Franklin Middle,798,3,801
2024-2025,29,Fairfax County,490,Freedom Hill Elementary,500,19,519
2024-2025,29,Fairfax County,1410,Frost Middle,1278,1,1279
2024-2025,29,Fairfax County,630,Garfield Elementary,316,3,319
2024-2025,29,Fairfax County,1170,Glasgow Middle,1704,1,1705
2024-2025,29,Fairfax County,970,Glen Forest Elementary,780,17,797
2024-2025,29,Fairfax County,530,Graham Road Elementary,438,1,439
2024-2025,29,Fairfax County,570,Great Falls Elementary,513,NA,513
2024-2025,29,Fairfax County,1840,Greenbriar East Elementary,922,20,942
2024-2025,29,Fairfax County,1500,Greenbriar West Elementary,631,NA,631
2024-2025,29,Fairfax County,330,Groveton Elementary,765,NA,765
2024-2025,29,Fairfax County,690,Gunston Elementary,533,8,541
2024-2025,29,Fairfax County,2210,Halley Elementary,608,16,624
2024-2025,29,Fairfax County,750,Haycock Elementary,838,NA,838
2024-2025,29,Fairfax County,1740,Hayfield Elementary,600,1,601
2024-2025,29,Fairfax County,1800,Hayfield Secondary,3261,6,3267
2024-2025,29,Fairfax County,1250,Herndon Elementary,792,NA,792
2024-2025,29,Fairfax County,32,Herndon High,2267,NA,2267
2024-2025,29,Fairfax County,33,Herndon Middle,899,8,907
2024-2025,29,Fairfax County,1330,Hollin Meadows Elementary,594,NA,594
2024-2025,29,Fairfax County,1521,Holmes Middle,881,2,883
2024-2025,29,Fairfax County,350,Hughes Middle,1013,3,1016
2024-2025,29,Fairfax County,1880,Hunt Valley Elementary,735,2,737
2024-2025,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,726,1,727
2024-2025,29,Fairfax County,1980,Hutchison Elementary,970,3,973
2024-2025,29,Fairfax County,1420,Hybla Valley Elementary,878,1,879
2024-2025,29,Fairfax County,1120,Irving Middle,1204,10,1214
2024-2025,29,Fairfax County,2235,Island Creek Elementary,686,8,694
2024-2025,29,Fairfax County,673,Jackson Middle,994,NA,994
2024-2025,29,Fairfax County,1110,Johnson Middle,1172,1,1173
2024-2025,29,Fairfax County,1070,Justice High,2359,NA,2359
2024-2025,29,Fairfax County,1240,Keene Mill Elementary,813,2,815
2024-2025,29,Fairfax County,980,Kent Gardens Elementary,920,1,921
2024-2025,29,Fairfax County,1901,Key Center,43,NA,43
2024-2025,29,Fairfax County,1900,Key Middle,701,2,703
2024-2025,29,Fairfax County,1761,Kilmer Center,58,NA,58
2024-2025,29,Fairfax County,1760,Kilmer Middle,1199,12,1211
2024-2025,29,Fairfax County,1890,Kings Glen Elementary,477,NA,477
2024-2025,29,Fairfax County,1440,Kings Park Elementary,656,17,673
2024-2025,29,Fairfax County,1570,Lake Anne Elementary,616,4,620
2024-2025,29,Fairfax County,90,Lake Braddock Secondary,4421,8,4429
2024-2025,29,Fairfax County,2209,Lane Elementary,717,NA,717
2024-2025,29,Fairfax County,1460,Langley High,2184,NA,2184
2024-2025,29,Fairfax County,2348,Laurel Hill Elementary,744,1,745
2024-2025,29,Fairfax County,1970,Laurel Ridge Elementary,835,6,841
2024-2025,29,Fairfax County,1850,Lees Corner Elementary,547,NA,547
2024-2025,29,Fairfax County,770,Lemon Road Elementary,595,4,599
2024-2025,29,Fairfax County,1020,Lewis High,1659,NA,1659
2024-2025,29,Fairfax County,2233,Liberty Middle,914,2,916
2024-2025,29,Fairfax County,1400,Little Run Elementary,264,8,272
2024-2025,29,Fairfax County,1830,London Towne Elementary,658,8,666
2024-2025,29,Fairfax County,1150,Longfellow Middle,1226,1,1227
2024-2025,29,Fairfax County,2236,Lorton Station Elementary,745,NA,745
2024-2025,29,Fairfax County,890,Lynbrook Elementary,595,NA,595
2024-2025,29,Fairfax County,1060,Madison High,2094,NA,2094
2024-2025,29,Fairfax County,1210,Mantua Elementary,909,12,921
2024-2025,29,Fairfax County,1290,Marshall High,2218,NA,2218
2024-2025,29,Fairfax County,1200,Marshall Road Elementary,691,NA,691
2024-2025,29,Fairfax County,2410,Mason Crest Elementary,685,22,707
2024-2025,29,Fairfax County,790,McLean High,2438,NA,2438
2024-2025,29,Fairfax County,2231,McNair Elementary,520,20,540
2024-2025,29,Fairfax County,2200,McNair Upper Elementary,605,1,606
2024-2025,29,Fairfax County,1390,Mosaic Elementary,928,NA,928
2024-2025,29,Fairfax County,510,Mount Eagle Elementary,361,NA,361
2024-2025,29,Fairfax County,420,Mount Vernon High,1864,NA,1864
2024-2025,29,Fairfax County,1640,Mount Vernon Woods Elementary,507,11,518
2024-2025,29,Fairfax County,2211,Mountain View High,145,NA,145
2024-2025,29,Fairfax County,800,Navy Elementary,848,NA,848
2024-2025,29,Fairfax County,470,Newington Forest Elementary,580,1,581
2024-2025,29,Fairfax County,930,North Springfield Elementary,465,16,481
2024-2025,29,Fairfax County,430,Oak Hill Elementary,628,11,639
2024-2025,29,Fairfax County,1860,Oak View Elementary,776,2,778
2024-2025,29,Fairfax County,140,Oakton Elementary,795,NA,795
2024-2025,29,Fairfax County,1710,Oakton High,2624,NA,2624
2024-2025,29,Fairfax County,1650,Olde Creek Elementary,359,2,361
2024-2025,29,Fairfax County,150,Orange Hunt Elementary,874,2,876
2024-2025,29,Fairfax County,1030,Parklawn Elementary,964,NA,964
2024-2025,29,Fairfax County,2440,Pimmit Early Childhood Resource Center,33,5,38
2024-2025,29,Fairfax County,820,Pine Spring Elementary,607,10,617
2024-2025,29,Fairfax County,1130,Poe Middle,879,1,880
2024-2025,29,Fairfax County,2080,Poplar Tree Elementary,683,18,701
2024-2025,29,Fairfax County,2237,Powell Elementary,872,3,875
2024-2025,29,Fairfax County,2230,Providence Elementary,954,2,956
2024-2025,29,Fairfax County,1310,Ravensworth Elementary,572,4,576
2024-2025,29,Fairfax County,1820,Riverside Elementary,742,7,749
2024-2025,29,Fairfax County,1960,Robinson Secondary,3716,6,3722
2024-2025,29,Fairfax County,300,Rocky Run Middle,882,14,896
2024-2025,29,Fairfax County,1770,Rolling Valley Elementary,522,NA,522
2024-2025,29,Fairfax County,950,Rose Hill Elementary,671,13,684
2024-2025,29,Fairfax County,1300,Sandburg Middle,1401,5,1406
2024-2025,29,Fairfax County,2030,Sangster Elementary,928,NA,928
2024-2025,29,Fairfax County,2040,Saratoga Elementary,612,NA,612
2024-2025,29,Fairfax County,80,Sherman Elementary,290,NA,290
2024-2025,29,Fairfax County,1660,Shrevewood Elementary,580,3,583
2024-2025,29,Fairfax County,1680,Silverbrook Elementary,799,6,805
2024-2025,29,Fairfax County,710,Sleepy Hollow Elementary,476,1,477
2024-2025,29,Fairfax County,2241,South County High,2107,NA,2107
2024-2025,29,Fairfax County,2420,South County Middle,943,1,944
2024-2025,29,Fairfax County,1990,South Lakes High,2450,NA,2450
2024-2025,29,Fairfax County,1620,Spring Hill Elementary,980,1,981
2024-2025,29,Fairfax County,960,Springfield Estates Elementary,597,8,605
2024-2025,29,Fairfax County,1380,Stenwood Elementary,538,12,550
2024-2025,29,Fairfax County,2070,Stone Middle,719,3,722
2024-2025,29,Fairfax County,1350,Stratford Landing Elementary,669,11,680
2024-2025,29,Fairfax County,280,Sunrise Valley Elementary,558,NA,558
2024-2025,29,Fairfax County,170,Terra Centre Elementary,594,5,599
2024-2025,29,Fairfax County,250,Terraset Elementary,598,5,603
2024-2025,29,Fairfax County,1371,Thomas Jefferson High for Science and Technology,2111,NA,2111
2024-2025,29,Fairfax County,1140,Thoreau Middle,1244,6,1250
2024-2025,29,Fairfax County,830,Timber Lane Elementary,585,16,601
2024-2025,29,Fairfax County,1160,Twain Middle,1027,3,1030
2024-2025,29,Fairfax County,1540,Union Mill Elementary,874,NA,874
2024-2025,29,Fairfax County,120,Vienna Elementary,358,3,361
2024-2025,29,Fairfax County,2252,Virginia Hills Early Childhood Resource Center,249,NA,249
2024-2025,29,Fairfax County,2050,Virginia Run Elementary,724,7,731
2024-2025,29,Fairfax County,850,Wakefield Forest Elementary,626,1,627
2024-2025,29,Fairfax County,2100,Waples Mill Elementary,750,10,760
2024-2025,29,Fairfax County,1320,Washington Mill Elementary,592,NA,592
2024-2025,29,Fairfax County,1080,Waynewood Elementary,738,1,739
2024-2025,29,Fairfax County,900,West Potomac High,2712,NA,2712
2024-2025,29,Fairfax County,1430,West Springfield Elementary,524,19,543
2024-2025,29,Fairfax County,1610,West Springfield High,2809,NA,2809
2024-2025,29,Fairfax County,1580,Westbriar Elementary,841,4,845
2024-2025,29,Fairfax County,2228,Westfield High,2748,2,2750
2024-2025,29,Fairfax County,1670,Westgate Elementary,614,NA,614
2024-2025,29,Fairfax County,580,Westlawn Elementary,789,NA,789
2024-2025,29,Fairfax County,520,Weyanoke Elementary,590,NA,590
2024-2025,29,Fairfax County,400,White Oaks Elementary,699,11,710
2024-2025,29,Fairfax County,1550,Whitman Middle,828,3,831
2024-2025,29,Fairfax County,2060,Willow Springs Elementary,819,1,820
2024-2025,29,Fairfax County,1810,Wolftrap Elementary,529,NA,529
2024-2025,29,Fairfax County,650,Woodburn Elementary,483,NA,483
2024-2025,29,Fairfax County,380,Woodlawn Elementary,447,2,449
2024-2025,29,Fairfax County,590,Woodley Hills Elementary,495,4,499
2024-2025,29,Fairfax County,1260,Woodson High,2446,1,2447
2024-2025,109,Falls Church City,270,Jessie Thackrey  Preschool,73,NA,73
2024-2025,109,Falls Church City,252,Mary Ellen Henderson Middle,634,NA,634
2024-2025,109,Falls Church City,251,Meridian High,897,NA,897
2024-2025,109,Falls Church City,240,Mount Daniel Elementary,486,NA,486
2024-2025,109,Falls Church City,260,Oak Street Elementary,587,NA,587
2024-2025,30,Fauquier County,854,Auburn Middle,570,NA,570
2024-2025,30,Fauquier County,460,C. Hunter Ritchie Elementary,525,NA,525
2024-2025,30,Fauquier County,730,C.M. Bradley Elementary,362,NA,362
2024-2025,30,Fauquier County,520,Cedar Lee Middle,861,NA,861
2024-2025,30,Fauquier County,120,Claude Thompson Elementary,254,NA,254
2024-2025,30,Fauquier County,701,Fauquier High,1156,NA,1156
2024-2025,30,Fauquier County,450,Grace Miller Elementary,528,NA,528
2024-2025,30,Fauquier County,511,Greenville Elementary,449,NA,449
2024-2025,30,Fauquier County,750,H.M. Pearson Elementary,388,NA,388
2024-2025,30,Fauquier County,853,James G. Brumfield Elementary,496,NA,496
2024-2025,30,Fauquier County,510,Kettle Run High,1175,NA,1175
2024-2025,30,Fauquier County,851,Liberty High,1313,NA,1313
2024-2025,30,Fauquier County,530,Margaret M. Pierce Elementary,543,NA,543
2024-2025,30,Fauquier County,10,Marshall Middle,426,NA,426
2024-2025,30,Fauquier County,20,Mary Walter Elementary,397,NA,397
2024-2025,30,Fauquier County,720,P.B. Smith Elementary,440,NA,440
2024-2025,30,Fauquier County,670,W.C. Taylor Middle,623,NA,623
2024-2025,30,Fauquier County,740,W.G. Coleman Elementary,355,NA,355
2024-2025,31,Floyd County,90,Check Elementary,277,NA,277
2024-2025,31,Floyd County,660,Floyd County High,668,NA,668
2024-2025,31,Floyd County,360,Floyd Elementary,448,NA,448
2024-2025,31,Floyd County,650,Indian Valley Elementary,110,NA,110
2024-2025,31,Floyd County,500,Willis Elementary,163,NA,163
2024-2025,32,Fluvanna County,300,Carysbrook Elementary,457,NA,457
2024-2025,32,Fluvanna County,310,Central Elementary,751,NA,751
2024-2025,32,Fluvanna County,260,Fluvanna County High,1362,NA,1362
2024-2025,32,Fluvanna County,320,Fluvanna Middle,747,NA,747
2024-2025,135,Franklin City,20,Franklin High,504,NA,504
2024-2025,135,Franklin City,10,S.P. Morton Elementary,621,NA,621
2024-2025,33,Franklin County,31,Benjamin Franklin Middle,1382,NA,1382
2024-2025,33,Franklin County,1370,Boones Mill Elementary,290,NA,290
2024-2025,33,Franklin County,350,Callaway Elementary,185,NA,185
2024-2025,33,Franklin County,20,Dudley Elementary,317,NA,317
2024-2025,33,Franklin County,1360,Ferrum Elementary,281,NA,281
2024-2025,33,Franklin County,1311,Franklin County High,1880,NA,1880
2024-2025,33,Franklin County,690,Glade Hill Elementary,227,NA,227
2024-2025,33,Franklin County,660,Lee M. Waid Elementary,386,NA,386
2024-2025,33,Franklin County,1380,Rocky Mount Elementary,296,NA,296
2024-2025,33,Franklin County,1170,Snow Creek Elementary,226,NA,226
2024-2025,33,Franklin County,960,Sontag Elementary,248,NA,248
2024-2025,33,Franklin County,980,Windy Gap Elementary,391,NA,391
2024-2025,34,Frederick County,586,Admiral Richard E. Byrd Middle,853,NA,853
2024-2025,34,Frederick County,10,Apple Pie Ridge Elementary,393,NA,393
2024-2025,34,Frederick County,320,Armel Elementary,589,NA,589
2024-2025,34,Frederick County,20,Bass-Hoover Elementary,615,NA,615
2024-2025,34,Frederick County,587,Evendale Elementary,618,NA,618
2024-2025,34,Frederick County,460,Frederick County Middle,732,NA,732
2024-2025,34,Frederick County,380,Gainesboro Elementary,483,NA,483
2024-2025,34,Frederick County,590,Greenwood Mill Elementary,599,NA,599
2024-2025,34,Frederick County,40,Indian Hollow Elementary,398,NA,398
2024-2025,34,Frederick County,30,James Wood High,1462,2,1464
2024-2025,34,Frederick County,420,James Wood Middle,873,NA,873
2024-2025,34,Frederick County,591,Jordan Springs Elementary,668,NA,668
2024-2025,34,Frederick County,340,Middletown Elementary,648,NA,648
2024-2025,34,Frederick County,584,Millbrook High,1550,NA,1550
2024-2025,34,Frederick County,583,Orchard View Elementary,469,NA,469
2024-2025,34,Frederick County,582,Redbud Run Elementary,614,NA,614
2024-2025,34,Frederick County,480,Robert E. Aylor Middle,861,NA,861
2024-2025,34,Frederick County,581,Sherando High,1631,NA,1631
2024-2025,34,Frederick County,410,Stonewall Elementary,391,NA,391
2024-2025,110,Fredericksburg City,50,Hugh Mercer Elementary,859,NA,859
2024-2025,110,Fredericksburg City,40,James Monroe High,1014,NA,1014
2024-2025,110,Fredericksburg City,272,Lafayette Elementary,812,NA,812
2024-2025,110,Fredericksburg City,30,Walker-Grant Early Childhood Center,149,NA,149
2024-2025,110,Fredericksburg City,273,Walker-Grant Middle,798,NA,798
2024-2025,111,Galax City,10,Galax Elementary,667,NA,667
2024-2025,111,Galax City,31,Galax High,432,NA,432
2024-2025,111,Galax City,32,Galax Middle,335,NA,335
2024-2025,35,Giles County,10,Eastern Elementary/Middle,433,NA,433
2024-2025,35,Giles County,112,Giles County K-12 Virtual School,1358,NA,1358
2024-2025,35,Giles County,461,Giles High,530,NA,530
2024-2025,35,Giles County,390,Macy Mcclaugherty Elementary/Middle,440,NA,440
2024-2025,35,Giles County,400,Narrows Elementary/Middle,514,NA,514
2024-2025,35,Giles County,470,Narrows High,300,NA,300
2024-2025,36,Gloucester County,250,Abingdon Elementary,456,7,463
2024-2025,36,Gloucester County,240,Achilles Elementary,397,8,405
2024-2025,36,Gloucester County,381,Bethel Elementary,494,10,504
2024-2025,36,Gloucester County,100,Botetourt Elementary,505,8,513
2024-2025,36,Gloucester County,260,Gloucester High,1548,NA,1548
2024-2025,36,Gloucester County,802,Page Middle,573,NA,573
2024-2025,36,Gloucester County,280,Peasley Middle,565,NA,565
2024-2025,36,Gloucester County,270,Petsworth Elementary,381,4,385
2024-2025,37,Goochland County,120,Byrd Elementary,281,NA,281
2024-2025,37,Goochland County,360,Goochland Elementary,509,NA,509
2024-2025,37,Goochland County,220,Goochland High,850,NA,850
2024-2025,37,Goochland County,340,Goochland Middle,616,NA,616
2024-2025,37,Goochland County,260,Randolph Elementary,387,NA,387
2024-2025,38,Grayson County,480,Fairview Elementary,146,NA,146
2024-2025,38,Grayson County,911,Fries Elementary,231,NA,231
2024-2025,38,Grayson County,421,Grayson County High,461,NA,461
2024-2025,38,Grayson County,430,Grayson Highlands,156,NA,156
2024-2025,38,Grayson County,422,Independence Elementary,287,NA,287
2024-2025,38,Grayson County,11,Independence Middle,280,NA,280
2024-2025,39,Greene County,20,Nathanael Greene Elementary,326,NA,326
2024-2025,39,Greene County,10,Nathanael Greene Primary,367,NA,367
2024-2025,39,Greene County,30,Ruckersville Elementary,540,NA,540
2024-2025,39,Greene County,72,William Monroe High,952,1,953
2024-2025,39,Greene County,71,William Monroe Middle,596,NA,596
2024-2025,40,Greensville County,190,Edward W. Wyatt Middle,448,NA,448
2024-2025,40,Greensville County,200,Greensville County High,584,NA,584
2024-2025,40,Greensville County,50,Greensville Elementary,985,NA,985
2024-2025,41,Halifax County,1560,Clays Mill Elementary,236,NA,236
2024-2025,41,Halifax County,20,Cluster Springs Elementary,572,NA,572
2024-2025,41,Halifax County,10,Halifax County High,1283,1,1284
2024-2025,41,Halifax County,1480,Halifax County Middle,847,NA,847
2024-2025,41,Halifax County,1550,Meadville Elementary,173,NA,173
2024-2025,41,Halifax County,1510,Scottsburg Elementary,187,NA,187
2024-2025,41,Halifax County,1521,Sinai Elementary,243,NA,243
2024-2025,41,Halifax County,30,South Boston Elementary,683,NA,683
2024-2025,41,Halifax County,950,South Boston/Halifax Early Learning Center,116,NA,116
2024-2025,41,Halifax County,1490,Sydnor Jennings Elementary,157,NA,157
2024-2025,112,Hampton City,500,A.W.E. Bassette Elementary,486,NA,486
2024-2025,112,Hampton City,160,Aberdeen Elementary,482,NA,482
2024-2025,112,Hampton City,470,Albert W. Patrick III Elementary,394,NA,394
2024-2025,112,Hampton City,260,Alfred S. Forrest Elementary,499,NA,499
2024-2025,112,Hampton City,120,Armstrong Elementary,288,NA,288
2024-2025,112,Hampton City,330,Barron Elementary,397,NA,397
2024-2025,112,Hampton City,350,Benjamin Syms Middle,851,NA,851
2024-2025,112,Hampton City,430,Bethel High,1769,NA,1769
2024-2025,112,Hampton City,450,C. Alton Lindsay Middle,612,NA,612
2024-2025,112,Hampton City,460,Captain John Smith Elementary,374,NA,374
2024-2025,112,Hampton City,300,Cesar Tarrant Middle,737,NA,737
2024-2025,112,Hampton City,420,Christopher C. Kraft Elementary,452,NA,452
2024-2025,112,Hampton City,30,Francis Asbury Elementary,409,NA,409
2024-2025,112,Hampton City,70,Francis W. Jones Magnet Middle,613,NA,613
2024-2025,112,Hampton City,650,George P. Phenix Elementary,1438,NA,1438
2024-2025,112,Hampton City,280,Hampton High,1301,1,1302
2024-2025,112,Hampton City,640,Hunter B. Andrews,1081,NA,1081
2024-2025,112,Hampton City,250,Jane H. Bryan Elementary,367,NA,367
2024-2025,112,Hampton City,320,Kecoughtan High,1554,NA,1554
2024-2025,112,Hampton City,490,Luther W. Machen Elementary,430,NA,430
2024-2025,112,Hampton City,440,Mary S. Peake Elementary,404,NA,404
2024-2025,112,Hampton City,270,Mary T. Christian Elementary,313,NA,313
2024-2025,112,Hampton City,360,Mary W. Jackson Elementary,343,NA,343
2024-2025,112,Hampton City,210,Moton Early Childhood Center,226,NA,226
2024-2025,112,Hampton City,410,Paul Burbank Elementary,432,NA,432
2024-2025,112,Hampton City,370,Phillips Elementary,435,NA,435
2024-2025,112,Hampton City,50,Phoebus High,1391,NA,1391
2024-2025,112,Hampton City,180,Samuel P. Langley Elementary,429,NA,429
2024-2025,112,Hampton City,380,Thomas Eaton Middle,581,NA,581
2024-2025,112,Hampton City,80,William Mason Cooper Elementary,386,NA,386
2024-2025,42,Hanover County,160,Ashland Elementary School,675,NA,675
2024-2025,42,Hanover County,62,Atlee High,1470,NA,1470
2024-2025,42,Hanover County,360,Battlefield Park Elementary,407,NA,407
2024-2025,42,Hanover County,20,Beaverdam Elementary,339,NA,339
2024-2025,42,Hanover County,440,Bell Creek Middle,903,NA,903
2024-2025,42,Hanover County,61,Chickahominy Middle,1199,NA,1199
2024-2025,42,Hanover County,70,Cold Harbor Elementary,495,NA,495
2024-2025,42,Hanover County,551,Cool Spring Elementary,852,NA,852
2024-2025,42,Hanover County,430,Elmont Elementary,383,NA,383
2024-2025,42,Hanover County,554,Hanover High,1349,NA,1349
2024-2025,42,Hanover County,200,Kersey Creek Elementary,672,NA,672
2024-2025,42,Hanover County,210,Laurel Meadow Elementary,591,NA,591
2024-2025,42,Hanover County,450,Liberty Middle,910,NA,910
2024-2025,42,Hanover County,420,Mechanicsville Elementary,572,NA,572
2024-2025,42,Hanover County,370,Mechanicsville High,1245,NA,1245
2024-2025,42,Hanover County,553,Oak Knoll Middle,862,NA,862
2024-2025,42,Hanover County,400,Patrick Henry High,1294,NA,1294
2024-2025,42,Hanover County,410,Pearson's Corner Elementary,571,NA,571
2024-2025,42,Hanover County,552,Pole Green Elementary,527,NA,527
2024-2025,42,Hanover County,30,Rural Point Elementary,627,NA,627
2024-2025,42,Hanover County,40,South Anna Elementary,439,NA,439
2024-2025,42,Hanover County,290,Washington-Henry Elementary,386,NA,386
2024-2025,113,Harrisonburg City,120,Bluestone Elementary,566,NA,566
2024-2025,113,Harrisonburg City,450,Elon Rhodes Early Learning Center,170,NA,170
2024-2025,113,Harrisonburg City,12,Harrisonburg High,998,NA,998
