school_year,division_number,division_name,behavior_category_code,behavior_category,behavior_code,behavior,number_of_events,region_name,region_number,GEOID
2023-2024,142,Poquoson City,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",8,Tidewater,2,51735
2023-2024,142,Poquoson City,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",3,Tidewater,2,51735
2023-2024,142,Poquoson City,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",15,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,3,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,1,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,29,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),1,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",1,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",16,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",84,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",26,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,6,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,2,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,2,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",24,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,1,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,26,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,1,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,4,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,2,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,162,Tidewater,2,51735
2023-2024,142,Poquoson City,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,29,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,3,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,5,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,30,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,25,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",4,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",1,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",11,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",44,Tidewater,2,51735
2023-2024,142,Poquoson City,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",4,Tidewater,2,51735
2023-2024,121,Portsmouth City,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",220,Tidewater,2,51740
2023-2024,121,Portsmouth City,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",286,Tidewater,2,51740
2023-2024,121,Portsmouth City,BAP,Behaviors that Impede Academic Progress,BAP4,Unexcused tardiness to class,1,Tidewater,2,51740
2023-2024,121,Portsmouth City,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",4,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO6,Bringing unauthorized persons to school or allowing unauthorized persons to enter the school building,2,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,3,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",20,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,10,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,3,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,23,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,5,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,38,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",30,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",12,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,258,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,12,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO1,Altering an official document or record,3,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",14,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,121,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,310,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",16,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",228,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",109,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",81,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,27,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",13,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",16,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),48,Tidewater,2,51740
2023-2024,121,Portsmouth City,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),9,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",113,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,77,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",23,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",12,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),3,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,15,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC25,Trespassing,4,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,35,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,5,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,739,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,415,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC12,Fire Related: Possessing items that could be used to set or cause a fire or produce large amounts of smoke,8,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC11,Fire alarm: Falsely activating a fire or other disaster alarm,4,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,43,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,83,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,20,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC7,Cyberbullying that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Cyberbullying that relates a threat to the safety of students and staff should be treated with a higher level of intervention and consequences.,5,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC6,Bullying Behavior without physical injury that continues after intervention (See Link: Model Policy to Addressing Bullying in Virginia¿s Public Schools) Bullying that leads to physical injury should be classified as Assault and Battery.,16,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",282,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,2,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,47,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",2,Tidewater,2,51740
2023-2024,121,Portsmouth City,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",270,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO15,Using an object not generally considered to be a weapon to threaten or attempt to injure school personnel,1,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO16,Using an object not generally considered to be a weapon to threaten or attempt to injure students or others,9,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO17,Bomb threat - Making a bomb threat,2,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,64,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,20,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,123,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,43,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",68,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",22,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO7,Drugs: Using controlled substances or using  illegal drugs or synthetic hallucinogens or unauthorized prescription medications ,29,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO9,"Fire: Attempting to set, aiding in setting, or setting a fire",1,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO10,Gang-Related Behavior: Engaging in threatening or dangerous behavior that is gang-related as defined in §18.2-46.1,14,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",69,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",95,Tidewater,2,51740
2023-2024,121,Portsmouth City,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",5,Tidewater,2,51740
2023-2024,121,Portsmouth City,PD,Behaviors to Determine Persistently Dangerous Schools,PD13,Illegal Possession of Any Other Projectile Weapon,3,Tidewater,2,51740
2023-2024,121,Portsmouth City,PD,Behaviors to Determine Persistently Dangerous Schools,PD3,Sexual Assault,1,Tidewater,2,51740
2023-2024,72,Powhatan County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",13,Central Virginia,1,51145
2023-2024,72,Powhatan County,BAP,Behaviors that Impede Academic Progress,BAP5,Unexcused tardiness to school,6,Central Virginia,1,51145
2023-2024,72,Powhatan County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",73,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,6,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",3,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO5,"Failure to attend assigned disciplinary setting (detention, in-school suspension, Saturday school)",7,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,293,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO2,"Giving false information, misrepresentation",20,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,40,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,7,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,4,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,3,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",17,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB3,"Posting, distributing, displaying, or sharing inappropriate material or literature, including using electronics means",5,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",17,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,12,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",58,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),2,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB8,"Using profane or vulgar language or gestures (swearing, cursing, hate speech, gang signs or gestures)",121,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB9,"Using slurs based upon the actual or perceived race, ethnicity, color, national origin, citizenship/immigration status, weight, gender, gender identity, gender expression, sexual orientation, or disability",67,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB10,Failure to respond to questions or requests by staff,56,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB11,Unwanted or inappropriate physical contact,103,Central Virginia,1,51145
2023-2024,72,Powhatan County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",18,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC1,"Alcohol: Possessing, using, or being under the influence of alcohol",4,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC27,Weapons: Possessing any weapon (other than a firearm) as defined by § 18.2-308.1.,6,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC26,Possessing dangerous instruments/substances that could be used to inflict harm upon another,3,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC24,Leaving school grounds without permission,6,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC22,Stealing money or property using physical force (no weapon involved),1,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC19,"Physical contact of a sexual nature ¿ patting body parts, pinching, tugging clothing",2,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC18,"Exposing body parts, lewd or indecent public behavior",9,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC17,"Shoving, pushing, striking, biting another a student with no visible injury",118,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC16,"Throwing an object that has the potential to cause a disturbance, injury, or property damage",54,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC15,Inciting or causing a substantial disturbance to the operation of school or the safety of staff and/or students,13,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC14,Fighting that results in no injury as determined by the school administration,27,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC3,Drugs: Possessing drug paraphernalia,2,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC4,Drugs: Violating school board non-prescription (Over the counter) medication policy or look-alike drug policy,4,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC5,"Tobacco: Possessing/Using/Distributing tobacco products, possessing tobacco paraphernalia, electronic cigarettes, vaping equipment",59,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC8,Harassment: Repeatedly annoying or attacking a student or a group of students or personnel creating  an intimidating or hostile educational or work environment ,2,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC9,Bus: Distracting the bus driver,28,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC10,Bus: Endangering the safety of others on the bus,20,Central Virginia,1,51145
2023-2024,72,Powhatan County,BSC,Behaviors of a Safety Concern,BSC13,Engaging in reckless behavior the creates a risk of injury to self or others,123,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO2,Assault and Battery: Causing physical injury to another person,5,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO3,Fighting: The use of physical violence between students or on another person where there is minor injury as determined by the school administration,10,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO4,Striking Staff: The use of force against a staff member when no injury is caused,15,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO5,"Drugs: Possessing controlled substances, illegal drugs inhalants, or synthetic hallucinogens or unauthorized prescription medications",17,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO6,"Drugs: Being under the influence of controlled substances, illegal drugs, inhalants, or synthetic hallucinogens or unauthorized prescription medications",11,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO12,"Threatening, intimidating, or instigating violence, injury or harm to a staff member or members",6,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO14,"Threatening, intimidation, or instigating violence, injury or harm to another student(s) or other(s) in writing. If the written threat is to a staff member, a report to law enforcement is required unless the student making the threat has a disability.",8,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO13,"Threatening, intimidating,¿or instigating violence, injury or harm to another student(s) or other(s) (not including written threats)",18,Central Virginia,1,51145
2023-2024,72,Powhatan County,BESO,Behaviors that Endanger Self or Others,BESO1,Assault: Intending to cause physical injury to another person,21,Central Virginia,1,51145
2023-2024,72,Powhatan County,PD,Behaviors to Determine Persistently Dangerous Schools,PD11,Illegal Possession of Handgun,1,Central Virginia,1,51145
2023-2024,72,Powhatan County,PD,Behaviors to Determine Persistently Dangerous Schools,PD16,Illegal Possession of Controlled Drugs and Substances with Intent to Distribute or Sell,1,Central Virginia,1,51145
2023-2024,73,Prince Edward County,BAP,Behaviors that Impede Academic Progress,BAP1,"Interfering with learning in the classroom (examples include talking, excessive noise, off-task, out of seat, possessing items that distract)",248,Southside,8,51147
2023-2024,73,Prince Edward County,BAP,Behaviors that Impede Academic Progress,BAP2,"Interfering with learning outside of the classroom (examples include excessive noise, interrupting a class)",33,Southside,8,51147
2023-2024,73,Prince Edward County,BAP,Behaviors that Impede Academic Progress,BAP3,"Scholastic dishonesty (such as cheating, plagiarism)",2,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO14,"Vandalism, graffiti or other damage to school or personal property",7,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO16,Student is in an unauthorized area of the campus (NOT related to school or class attendance/nonattendance).,24,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO15,Student is not going to class as assigned,7,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO13,Violation of school board policy regarding the possession or use of portable communication devices,1,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO12,Violation of the Acceptable Use of Technology/internet policy,16,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO11,Unauthorized use of school electronic or other equipment,4,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO10,Possession of stolen items,2,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO9,"Possessing items that are inappropriate for school (examples include toys, literature, electronics)",3,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO8,Gambling (games of chance for money or profit),2,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO7,Dress Code Violation,2,Southside,8,51147
2023-2024,73,Prince Edward County,BSO,Behaviors related to School Operations,BSO3,Refusal to comply with requests of staff in a way that interferes with the operation of school,29,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB2,Cyberbullying (See Model Policy to Addressing Bullying in Virginia's  Public Schools),1,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB4,"Saying or writing either directly or through electronic communication sexually suggestive comments, innuendos, propositions, or other remarks of a sexual nature",6,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB1,Bullying with no physical injury (See Model Policy to Addressing Bullying in Virginia's  Public Schools),9,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB5,Stealing money or property without physical force,11,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB6,"Speaking to another in an uncivil, discourteous manner",15,Southside,8,51147
2023-2024,73,Prince Edward County,RB,Relationship Behaviors,RB7,"Teasing, taunting, engaging in a verbal confrontation, verbally inciting a fight",23,Southside,8,51147
